Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
সাংবাদিক মোশতাক আন্দালিব,65,ঘুম থেকে উঠে,16,ব্লগ লিখেছেনঃ মাস,45,আমার মনে হয়,43,বুঝতে পারছি না,15,থেকে শুরু করে,35
সোয়াচ অভ নো,57,Where have all,15,লিখেছেনঃ মাস সপ্তাহ,38,হতে পারে না,36,জানি না কিন্তু,14,বাংলাদেশ বার্ড ক্লাবের,24
সে যাই হোক,56,তার কাছ থেকে,15,সামহোয়্যার ইন ব্লগ,29,করতে পারবে না,35,করা যায় না,14,সেই সাথে আছে,23
অভ নো গ্রাউন্ড,51,have all the,15,সামহোয়্যার ইন ব্লগের,25,করতে পারি না,34,দিনের পর দিন,13,ইনাম আল হক,21
বলে মনে হল,31,কী মনে করে,13,থেকে শুরু করে,24,শুধু তাই নয়,33,চোখ বন্ধ করে,11,কুমার শরৎকুমার রায়,17
কাল্ট অভ আহরিমান,24,একের পর এক,13,বাংলা ব্লগ দিবস,18,আমার জানা নেই,32,যে কোন সময়,11,কোন না কোন,16
মুহম্মদ এনামুল হক,23,দিনের পর দিন,12,বলা যেতে পারে,17,আমি জানি না,30,ছিল না কিন্তু,11,একের পর এক,15
মেজর ইফতেখার হায়দার,23,সকালে ঘুম থেকে,12,মনে হচ্ছে যেন,17,সত্যি কথা বলতে,29,কেউ জানে না,11,জীবন কাটিয়ে দিলাম,14
wikipedia org wiki,22,বছরের পর বছর,11,ব্লগার আমিনুর রহমান,16,এই দেশের মানুষ,27,করা যাবে না,10,একটা জীবন কাটিয়ে,14
en wikipedia org,22,করা যেতে পারে,11,করা যেতে পারে,15,কী হতে পারে,26,হতে পারে না,10,কাটিয়ে দিলাম ছড়ার,12
ডা স্মরণজিৎ চক্রবর্তী,22,হতে পারে না,11,লিখেছেনঃ বছর মাস,14,নিউক্লিয়ার শক্তি কেন্দ্র,24,থেকে শুরু করে,9,আবার দেখা হবে,12
http en wikipedia,22,আছে কী না,11,ব্লগ লিখেছেনঃ বছর,14,করতে পারে না,24,কথা মনে পড়লো,9,লাভ ইউ ম্যান,11
ইন্সপেক্টর সোহরাব আলী,21,আমার দিকে তাকিয়ে,10,থেকে বের হয়ে,14,আমরা সবাই জানি,24,করতে পারবে না,9,আই লাভ ইউ,10
চুপ করে থাকে,21,gone Long time,10,বিকল্প গণমাধ্যম হিসেবে,13,থেকে শুরু করে,23,একের পর এক,9,কী হতে পারে,10
ডক্টর গোলাম মোর্তোজা,20,থেকে বের হয়ে,10,on the storm,13,ফাঁস হয়ে যাওয়া,23,কোন সন্দেহ নেই,8,প্রথম বারের মত,10
চুপ করে রইলেন,20,বলা যায় না,10,Riders on the,13,মুহম্মদ জাফর ইকবাল,21,খারাপ হয়ে গেল,8,নাম না জানা,10
রাহাত কবির এর,18,দেয়া যায় না,10,ব্লগ লিখেছেন বছর,13,তখন হঠাৎ করে,20,করে বসে আছে,8,গল্প পূর্ব ইউরোপ,10
অধ্যাপক মোশাররফ বললেন,18,করা যায় না,10,এক কাপ চা,13,এই দেশের মানুষের,20,ফিসফিস করে বললো,8,গতকালের গল্প পূর্ব,10
ছবি ইন্টারনেট তথ্যসূত্র,18,করতে পারে না,10,বার দেখা হয়েছে,13,কথা বলতে কী,20,ঘুম থেকে উঠে,8,এবং সেই সাথে,10
সুলতান দ্বিতীয় বায়োজিদ,18,আমি জানি না,10,ছাড়া আর কিছুই,13,কথা বলা হয়েছে,20,হো হো করে,7,করা যাবে না,10
সুলতান শামসুদ্দীন ইলিয়াস,18,দেখা হয়ে যায়,9,ব্লগার মামুন রশিদ,12,থেকে অনেক বেশি,19,আর কেউ নেই,7,মুহম্মদ জাফর ইকবাল,9
বুঝতে পারছি না,17,হোক না কেন,9,নং আয়াত আল্লাহ,12,আর কী হতে,19,পাওয়া যাবে না,7,ফেয়ার অ্যান্ড লাভলী,9
প্রোফেসর আশরাফি বললেন,17,সাথে কথা বলতে,9,আয়াত আল্লাহ বলছেন,12,জানি না কিন্তু,18,হৈ হৈ করে,7,ইনাম আল হকের,9
বঙ্গে স্বূফী প্রভাব,17,একে অপরের সাথে,9,একের পর এক,11,ঠিক সে রকম,18,বছরের পর বছর,7,জাফর ইকবাল স্যার,8
ফোন অফ করে,16,মনে হয় তার,9,ঈদ মোবারক ব্লগার,11,শহীদ জননী জাহানারা,18,কোন তথ্য প্রকাশের,7,পুরনো বইয়ের দোকানে,8
কাজী রফিকুল হক,16,মনে হচ্ছে না,9,ব্লগার দুর্যোধন ব্লগার,11,মনে হয় না,18,করতে পারে না,7,কিছু না কিছু,8
ফিরোজ শাহ তুঘলক,16,এই যে আমি,9,সেখান থেকে চলে,11,আমার মনে আছে,18,কিনা জানি না,7,পাওয়া যায় না,8
ডক্টর আবিদ আলী,16,করা যাবে না,9,দুর্যোধন ব্লগার কাল্পনিক,10,কয়েক বছর আগে,17,দেরী না করে,7,আগে কি সুন্দর,8
বিদিত লাল দাশ,15,বড় বড় কথা,9,প্রোযেক্ট ব্লু বীম,10,করা যাবে না,17,চুপ করে বসে,7,আর কী হতে,8
অধ্যাপক কাজী রফিকুল,15,মনে হয় না,9,হাজার বছর ধরে,10,মজার ব্যাপার হচ্ছে,17,বাস থেকে নেমে,7,হাজার বছর ধরে,8
টুক টুক টুক,15,আমি বুঝতে পারি,8,ভিজিটর সংখ্যা প্রায়,10,করা যায় না,16,বন্ধ করে দিল,7,সিরিজের বাকী পর্বগুলো,8
সে যা হোক,15,কথা বলতে গিয়ে,8,উইংড সান ডিস্ক,10,নিয়ে কথা বলতে,16,ছাড়া আর কেউ,7,প্রথম মানুষ হিসেবে,8
বলে মনে হয়,15,they ever learn,8,আমার কাছে মনে,10,এই দেশের মাটিতে,15,তোমার কাছ থেকে,7,কি সুন্দর দিন,8
লেফটেনেন্ট কর্নেল ইকবাল,14,When will they,8,মাসিক ভিজিটর সংখ্যা,10,গাইড বই থেকে,15,বন্ধ হয়ে গেল,7,সৈয়দ মুজতবা আলী,8
হাসনাত ভাই বললেন,14,দশ লাখ টাকা,8,মাথায় হাত বুলিয়ে,10,তার থেকে অনেক,15,তথ্য প্রকাশের ফলে,7,হাজার বছর আগে,8
বুঝতে পারলাম না,14,কোন মানে হয়,8,একটা সিগারেট ধরিয়ে,9,সব বিশ্ববিদ্যালয় মিলে,15,আমি জানি না,7,সুন্দর দিন কাটাইতাম,8
