Abdul Gaffar,value,Emon Jubayer,value,Nir Shondhani,value,MZI,value,Tareque Anu,value,Wasim Faruk,value,Abu Hena Md Ashraful Islam,value,Kandari Athorbo,value,Hasan Mahbub,value,Mahi Rahi,value,Niyaz Morshed,value
তরু লতা , 259,মরিয়ম বেগম , 149,ছিল না , 128,এই দেশের , 351,সেই সাথে , 264,আমাদের দেশের , 89,হয়ে গেল , 112,করা হয় , 159,মনে হয় , 151,করা হয় , 136,শুরু করে , 63
গুল্ম তরু , 182,মনে হল , 128,না কিন্তু , 106,এই দেশে , 159,বিশেষ করে , 175,তার পর , 78,বের করে , 102,শুরু করে , 91,ছিলো না , 121,মুসলমানদের ১০০১টি , 108,http www , 57
বাংলার গুল্ম , 181,প্রফেসর আশরাফি , 96,হয়ে গেল , 100,আমাদের দেশের , 159,ছিল না , 133,দেবি শেঠি , 76,আমি বললাম , 87,করা হয় , 80,না আমি , 114,১০০১টি আবিস্কার , 108,হতে পারে , 50
হতে পারে , 103,মনে হয় , 92,হয়ে গেছে , 97,মনে হয় , 157,মনে হয় , 131,আমাদের দেশে , 74,হয়ে গেছে , 82,কাছ থেকে , 74,কী না , 108,of the , 88,শেষ পর্যন্ত , 47
ছিল না , 81,চুপ করে , 74,হয় না , 94,হতে পারে , 143,হয় নি , 99,প্রধান মন্ত্রী , 67,যায় না , 60,করার জন্য , 73,হবে না , 107,মনে হয় , 70,করা হয় , 40
লতা গুল্ম , 78,কালো রঙের , 58,হয়ে যায় , 80,হয় না , 142,মনে হল , 98,করা হয় , 54,চিৎকার করে , 56,ব্লগ লিখেছেনঃ , 71,হয় না , 105,করার জন্য , 62,হয় নি , 40
হয় না , 78,টেবিলের ওপর , 57,হবে না , 72,করার জন্য , 138,সাথে সাথে , 94,বার বার , 53,চৌধুরী সাহেব , 56,হতে পারে , 71,হয়ে যায় , 102,বছর আগে , 62,ছিল না , 40
বাংলার তরু , 77,একটু পর , 55,জানি না , 68,এক ধরনের , 122,করা হয় , 88,তা হলে , 50,হয়ে যায় , 56,করতে হবে , 66,হয়ে গেছে , 92,কাছ থেকে , 61,সাথে সাথে , 40
মাঝে মাঝে , 64,হয়ে গেল , 52,পারে না , 67,কথা বলতে , 112,যে কোন , 81,কেন জানি , 42,ছিল না , 56,যেতে পারে , 57,হতে পারে , 89,হঠাত করেই , 61,হবে না , 38
হলো না , 63,চলে যায় , 52,যায় না , 64,হবে না , 111,শুরু করে , 75,মাননীয় প্রধান , 40,বাচ্চু মিয়া , 52,আমার কাছে , 52,কাছ থেকে , 88,কথা বলে , 56,করতে হবে , 35
না তবে , 61,সাংবাদিক মোশতাক , 51,যে কোন , 64,না আমি , 109,মাঝে মাঝে , 68,করা হয়েছে , 39,ঠিক আছে , 52,মনে হয় , 52,যায় না , 86,in the , 52,পারে না , 33
দেখা যায় , 60,ছিল না , 50,মনে মনে , 63,না কিন্তু , 109,না কিন্তু , 65,করার জন্য , 39,দু জন , 52,মাঝে মাঝে , 52,না আমার , 83,খুব একটা , 51,এমন কি , 33
