Abdul Gaffar,value,Tareque Anu,value,Nir Shondhani,value,Abu Hena Md Ashraful Islam,value,Niyaz Morshed,value,Kandari Athorbo,value,Emon Jubayer,value,MZI,value,Hasan Mahbub,value
তরু লতা , 259,সেই সাথে , 264,ছিল না , 128,হয়ে গেল , 112,শুরু করে , 63,করা হয় , 159,মরিয়ম বেগম , 149,এই দেশের , 351,মনে হয় , 151
গুল্ম তরু , 182,বিশেষ করে , 175,না কিন্তু , 105,বের করে , 102,http www , 57,শুরু করে , 91,মনে হল , 128,এই দেশে , 159,`` `` , 128
বাংলার গুল্ম , 181,ছিল না , 133,হয়ে গেল , 100,আমি বললাম , 87,হতে পারে , 50,করা হয় , 80,প্রফেসর আশরাফি , 96,আমাদের দেশের , 159,ছিলো না , 121
হতে পারে , 103,মনে হয় , 131,হয়ে গেছে , 97,হয়ে গেছে , 82,শেষ পর্যন্ত , 47,কাছ থেকে , 74,মনে হয় , 92,মনে হয় , 157,না আমি , 112
ছিল না , 81,হয় নি , 99,হয় না , 94,যায় না , 60,ছিল না , 40,করার জন্য , 73,চুপ করে , 74,হতে পারে , 143,কী না , 108
হয় না , 78,মনে হল , 98,হয়ে যায় , 80,চিৎকার করে , 56,হয় নি , 40,হতে পারে , 71,কালো রঙের , 58,হয় না , 142,হবে না , 106
লতা গুল্ম , 78,সাথে সাথে , 94,হবে না , 72,চৌধুরী সাহেব , 56,সাথে সাথে , 40,ব্লগ লিখেছেনঃ , 71,টেবিলের ওপর , 57,করার জন্য , 138,হয় না , 105
বাংলার তরু , 77,করা হয় , 88,জানি না , 68,হয়ে যায় , 56,করা হয় , 40,করতে হবে , 66,একটু পর , 55,এক ধরনের , 122,হয়ে যায় , 102
মাঝে মাঝে , 64,যে কোন , 81,পারে না , 67,ছিল না , 56,হবে না , 38,যেতে পারে , 57,চলে যায় , 52,কথা বলতে , 112,হয়ে গেছে , 92
হলো না , 63,শুরু করে , 75,যে কোন , 64,ঠিক আছে , 52,করতে হবে , 35,মনে হয় , 52,হয়ে গেল , 52,হবে না , 111,হতে পারে , 89
না তবে , 61,মাঝে মাঝে , 68,যায় না , 64,বাচ্চু মিয়া , 52,ইউনিভার্সিটি অব , 33,আমার কাছে , 52,সাংবাদিক মোশতাক , 51,না আমি , 109,কাছ থেকে , 88
দেখা যায় , 60,না কিন্তু , 65,মনে মনে , 63,দু জন , 52,না কিন্তু , 33,মাঝে মাঝে , 52,ছিল না , 50,না কিন্তু , 109,যায় না , 86
